car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,manufacture,engine,Seats,num_owners
Toyota Innova Crysta 2.8 ZX AT BSIV,1989999.9999999998,75000,0,1,2019,2755.0,7,2
Land Rover Discovery Sport TD4 HSE 7S,3550000.0,72000,0,1,2018,1999.0,7,1
Ford Aspire 1.2 Ti-VCT Titanium,550000.0,23400,1,0,2017,1196.0,5,1
Ford Aspire 1.2 Ti-VCT Ambiente,390000.0,59300,1,0,2017,1196.0,5,1
Hyundai Creta 1.4 CRDi S,890000.0,72000,0,0,2016,1396.0,5,1
Maruti Swift Dzire LDI,451000.0,67000,0,0,2017,1248.0,5,1
Honda Amaze S CVT i-VTEC,725000.0,33500,1,1,2018,1199.0,5,1
Hyundai Creta SX Executive,1275000.0,17000,1,0,2021,1497.0,5,2
Volkswagen Ameo 1.5 TDI Highline AT,690000.0,33000,0,1,2016,1498.0,5,1
Volkswagen Polo GT TSI,675000.0,49000,1,1,2015,1197.0,5,1
Hyundai Grand i10 AT Asta,565000.0,26000,1,1,2015,1197.0,5,1
Hyundai Venue SX Opt iMT,1000000.0,14500,1,0,2020,998.0,5,1
Kia Seltos GTX Plus AT D,1975000.0,10000,0,1,2022,1493.0,5,1
MG Hector Plus Sharp DCT,1700000.0,15001,1,1,2020,1451.0,6,1
Skoda Octavia Elegance 1.8 TSI AT,975000.0,55000,1,1,2015,1798.0,5,2
Toyota Corolla Altis G,650000.0,38000,1,0,2013,1798.0,5,1
Ford Endeavour 4x4 XLT,400000.0,110000,0,0,2005,2953.0,7,2
Honda Amaze S AT i-Vtech,475000.0,65413,1,1,2013,1198.0,5,1
Honda Jazz Mode,280000.0,45000,1,0,2009,1198.0,5,2
Ford Figo 1.2P Trend MT,430000.0,44000,1,0,2017,1196.0,5,1
Hyundai Grand i10 1.2 Kappa Magna BSIV,490000.00000000006,40000,1,0,2017,1197.0,5,1
Ford Ecosport 1.5 Petrol Titanium AT,651000.0,49000,1,1,2016,1496.0,5,1
Mahindra Thar LX 4-Str Hard Top Diesel AT,1751000.0000000002,19000,0,1,2022,2184.0,4,1
Hyundai i20 Magna Optional 1.4 CRDi,391000.0,56000,0,0,2013,1396.0,5,2
Honda City 1.5 V MT,375000.0,65000,1,0,2010,1497.0,5,2
Toyota Etios G,490000.00000000006,27680,1,0,2013,1496.0,5,1
Kia Seltos GTX Plus AT D,1825000.0,27305,0,1,2021,1493.0,5,1
BMW 3 Series 320d,3300000.0,10793,0,1,2019,1995.0,5,1
BMW X3 xDrive 20d Luxury Line,5600000.0,12000,0,1,2020,1995.0,5,1
MG Hector Sharp DCT,1499000.0,44000,1,1,2019,1451.0,5,1
Kia Seltos HTK G,1199000.0,63000,1,0,2020,1497.0,5,1
Hyundai i20 Sportz Plus Diesel,650000.0,87000,0,0,2019,1396.0,5,1
Maruti Alto LXi,190000.0,61000,1,0,2010,796.0,5,1
Hyundai i20 Sportz Option 1.4 CRDi,625000.0,72000,0,0,2016,1396.0,5,1
Audi A4 2.0 TDI Multitronic,1651000.0000000002,70000,0,1,2015,1968.0,5,1
Nissan Micra Diesel XV,225000.0,58000,0,0,2012,1461.0,5,2
Honda Jazz Active,130000.0,90000,1,0,2009,1198.0,5,3
Honda City VX MT,1250000.0,19000,1,0,2022,1497.0,5,1
Toyota Corolla Altis G AT,925000.0,72159,1,1,2014,1798.0,5,1
Ford Ecosport 1.5 DV5 MT Titanium,590000.0,78000,0,0,2015,1498.0,5,1
Ford Ecosport 1.5 Diesel Titanium BSIV,690000.0,58000,0,0,2018,1498.0,5,1
Ford Ecosport 1.5 Diesel Titanium Plus BSIV,890000.0,72000,0,0,2018,1498.0,5,1
Land Rover Range Rover Evoque 2.0 TD4 SE,4250000.0,56000,0,1,2018,1999.0,5,1
Nissan Micra Diesel XV,290000.0,73000,0,0,2012,1461.0,5,1
Hyundai Creta 1.6 VTVT S,890000.0,28840,1,0,2016,1591.0,5,1
Maruti Swift Dzire AMT ZXI,690000.0,51500,1,1,2019,1197.0,5,1
Maruti S-Presso VXI Plus AT 2019-2022,480000.0,41370,1,1,2020,998.0,5,1
Hyundai Creta 1.6 VTVT S,875000.0,41266,1,0,2016,1591.0,5,1
Hyundai Verna VTVT 1.6 AT SX Option,990000.0,31740,1,1,2018,1591.0,5,1
Maruti Ciaz VXi Plus,615000.0,77876,1,0,2015,1373.0,5,1
Skoda Kushaq 1.5 TSI Style,2050000.0,9500,1,0,2022,1498.0,5,1
Hyundai Grand i10 1.2 Kappa Sportz Option AT,625000.0,28387,1,1,2019,1197.0,5,1
Mercedes-Benz M-Class ML 350 CDI,2700000.0,120000,0,1,2015,2987.0,5,2
Hyundai Grand i10 Magna,450000.0,20000,1,0,2017,1197.0,5,2
Mercedes-Benz C-Class Progressive C 220d,4250000.0,30686,0,1,2020,1950.0,5,1
Tata Indica eV2 DL BSIII,100000.0,120000,0,0,2013,1396.0,5,2
Mahindra Bolero Power Plus SLE,600000.0,184000,0,0,2018,1493.0,7,2
Honda City 1.5 S AT,400000.0,40000,1,1,2009,1497.0,5,1
Maruti Ciaz Delta Diesel,625000.0,55000,0,0,2015,1248.0,5,1
Hyundai Grand i10 1.2 Kappa Sportz Option,575000.0,38000,1,0,2019,1197.0,5,1
Audi Q3 30 TFSI Premium FWD,2350000.0,40000,1,1,2017,1395.0,5,1
Hyundai Santro GS zipDrive - Euro II,135000.0,60000,1,0,2006,999.0,5,2
Mahindra Bolero SLX,300000.0,110000,0,0,2009,2523.0,7,3
Maruti Swift LDI,210000.0,143000,0,0,2011,1248.0,5,2
Tata Indica Aqua 1.3 Quadrajet BSIV,125000.0,110000,0,0,2012,1248.0,5,3
Mahindra KUV 100 mFALCON D75 K4 Plus,475000.0,58000,0,0,2017,1198.0,6,1
Honda City i VTEC SV,550000.0,65000,1,0,2014,1497.0,5,2
Tata Harrier XZ Plus,1700000.0,50000,0,0,2021,1956.0,5,1
Tata Zest Revotron 1.2 XT,349000.0,55000,1,0,2015,1193.0,5,1
Land Rover Discovery Sport R-Dynamic SE Diesel,7000000.0,19500,0,1,2021,1999.0,7,1
Mahindra XUV500 AT W10 FWD,925000.0,78000,0,1,2016,2179.0,7,2
Honda City V MT,390000.0,58000,1,0,2010,1497.0,5,1
Mahindra XUV500 W10 2WD,1025000.0,91000,0,0,2017,2179.0,7,1
Mahindra XUV500 AT W10 1.99 mHawk,1125000.0,30000,0,1,2016,1997.0,7,1
Maruti Baleno 1.2 Zeta,725000.0,44153,1,0,2018,1197.0,5,1
Mercedes-Benz C-Class C 250d Avantgarde Edition C,3450000.0,21000,0,1,2018,2143.0,5,1
Kia Seltos HTX G,1400000.0,19000,1,0,2020,1497.0,5,1
Hyundai Alcazar Signature Diesel AT,1950000.0,27300,0,1,2021,1493.0,6,1
Skoda Superb Laurin & klement,3400000.0,31001,1,1,2021,1984.0,5,1
Renault KWID 1.0 RXT,310000.0,50000,1,0,2017,999.0,5,1
Maruti Wagon R LXI BSII,130000.0,77000,1,0,2005,998.0,5,2
Maruti Swift Dzire AMT VXI,650000.0,53000,1,1,2018,1197.0,5,1
Datsun RediGO S,275000.0,20000,1,0,2017,799.0,5,1
Honda Brio S Option MT,350000.0,72000,1,0,2013,1198.0,5,1
Hyundai Creta 1.6 VTVT S,890000.0,26000,1,0,2016,1591.0,5,1
Honda Amaze S i-Dtech,425000.0,66000,0,0,2015,1498.0,5,1
Jaguar XF 2.2 Litre Luxury,2200000.0,69619,0,1,2014,2179.0,5,1
Maruti Alto K10 VXI AMT,430000.0,30000,1,1,2018,998.0,5,1
Maruti Wagon R LXI Minor,211000.0,61000,1,0,2009,1061.0,5,1
Renault Duster 110PS Diesel RxZ AMT,975000.0,31000,0,1,2018,1461.0,5,1
Volkswagen Polo GT TSI,625000.0,66000,1,1,2015,1197.0,5,1
Land Rover Discovery Sport R-Dynamic SE,7200000.0,7700,1,1,2021,1997.0,7,1
Mahindra XUV700 AX3 AT,1750000.0,9000,1,1,2022,1999.0,5,1
Tata Tigor 1.2 Revotron XT,340000.0,60000,1,0,2017,1199.0,5,2
Skoda Fabia 1.2 MPI Active,110000.00000000001,110000,1,0,2009,1198.0,5,3
Kia Seltos HTX Plus AT D,1675000.0,51001,0,1,2020,1493.0,5,1
Jeep Compass 2.0 Limited Plus AT,2100000.0,56207,0,1,2020,1956.0,5,1
Mercedes-Benz GLA Class 200 d Sport,2690000.0,58000,0,1,2019,2143.0,5,1
Hyundai i20 Diesel Sportz,650000.0,73290,0,0,2018,1396.0,5,1
Hyundai Verna 1.6 CRDi S,790000.0,44283,0,0,2017,1582.0,5,1
Maruti Celerio VXI AT,425000.0,48000,1,1,2016,998.0,5,1
Honda City 1.5 S MT,340000.0,107500,1,0,2010,1497.0,5,3
Maruti Swift 1.3 LXI,,80000,1,0,2007,1298.0,5,3
Maruti SX4 Celebration Petrol,200000.0,90000,1,0,2009,1586.0,5,2
Maruti Vitara Brezza LXI,775000.0,10000,1,0,2021,1462.0,5,1
Maruti Wagon R LXI BS IV,215000.0,120000,1,0,2011,998.0,5,1
Maruti Wagon R LXI BS IV,237000.0,120000,1,0,2011,998.0,5,1
Maruti Zen LX,,90000,1,0,2002,993.0,5,3
Mahindra KUV 100 NXT G80 K2,425000.0,46000,1,0,2018,1198.0,6,1
Nissan Sunny XL D,575000.0,28000,0,0,2017,1461.0,5,1
Honda WR-V SV,825000.0,24000,1,0,2020,1199.0,5,1
Honda WR-V i-VTEC S,690000.0,23000,1,0,2018,1199.0,5,1
Honda WR-V i-VTEC VX,775000.0,24300,1,0,2018,1199.0,5,1
Honda WR-V i-VTEC VX,790000.0,51000,1,0,2019,1199.0,5,1
Kia Seltos GTX Plus DCT,1490000.0,6000,1,1,2020,1353.0,5,1
Kia Seltos GTX Plus DCT,1725000.0,12600,1,1,2021,1353.0,5,1
Jeep Meridian Limited Opt AT 4x4,3700000.0,3500,0,1,2022,1956.0,7,1
Hyundai i10 Era,229999.99999999997,120000,1,0,2011,1086.0,5,1
Hyundai Grand i10 Nios Sportz CNG,750000.0,5000,Cng,0,2022,1197.0,5,1
Hyundai Santro Xing GLS,135000.0,120000,1,0,2010,1086.0,5,4
Honda Jazz V CVT,695000.0,40000,1,1,2018,1199.0,5,1
Honda City i-VTEC V,785000.0,96000,1,0,2018,1497.0,5,1
Honda City 1.5 S MT,325000.0,67000,1,0,2010,1497.0,5,2
Honda City i-VTEC V,790000.0,72000,1,0,2018,1497.0,5,1
Hyundai i10 Magna,321000.0,89000,1,0,2013,1197.0,5,1
Volkswagen Polo Diesel Trendline 1.2L,330000.0,64000,0,0,2011,1199.0,5,1
Maruti Swift Vdi BSIII,200000.0,120000,0,0,2010,1248.0,5,3
Honda Jazz 1.2 SV i VTEC,540000.0,42000,1,0,2017,1199.0,5,1
Datsun RediGO T,270000.0,55000,1,0,2017,799.0,5,1
Hyundai Santro Era Executive BSIV,495000.0,30000,1,0,2019,1086.0,5,1
Tata Hexa XTA,1000000.0,86500,0,1,2017,2179.0,7,2
Honda CR-V 2.4L 4WD AT,1050000.0,59000,1,1,2014,2354.0,5,1
Hyundai EON Era Plus,310000.0,15000,1,0,2018,814.0,5,1
Mahindra Scorpio S7 140 BSIV,1200000.0,70000,0,0,2019,2179.0,7,1
Volkswagen Polo ALLSTAR 1.2 MPI,600000.0,50000,1,0,2017,1198.0,5,2
Chevrolet Cruze LT,300000.0,110000,0,0,2012,1991.0,5,1
Tata Nexon XMA AMT,925000.0,13700,1,1,2021,1199.0,5,1
Maruti Swift VXI BSIV,570000.0,25000,1,0,2019,1197.0,5,1
Ford Ecosport Sports Diesel,1100000.0,20000,0,0,2021,1498.0,5,1
Jaguar XF 2.2 Litre Luxury,1800000.0,70000,0,1,2014,2179.0,5,2
Tata Indica TDI LX,100000.0,35000,0,0,2013,1405.0,5,3
Toyota Fortuner 4X4 Diesel AT,4350000.0,26629,0,1,2021,2755.0,7,1
Mercedes-Benz C-Class Progressive C 220d,4650000.0,20000,0,1,2019,1950.0,5,1
Mercedes-Benz GLC Progressive 220d,5395000.0,33000,0,1,2019,2143.0,5,1
BMW 3 Series Gran Limousine 330Li M Sport First Edition,6175000.0,25000,1,1,2021,1998.0,5,1
Audi Q3 30 TDI,2795000.0,55291,0,0,2017,1968.0,5,1
Mercedes-Benz C-Class C 220 CDI Avantgarde,1650000.0,58500,0,1,2013,2143.0,5,1
Audi Q7 45 TDI Quattro Technology,7250000.0,15000,0,1,2018,2967.0,7,1
Renault Duster 85PS Diesel RxL Option,650000.0,90000,0,0,2014,1461.0,5,1
Audi Q3 35 TDI Quattro Premium,1300000.0,64000,0,1,2012,1968.0,5,2
Maruti Zen LXI,400000.0,132596,1,0,2004,993.0,5,2
Maruti Swift VXI BSIII,154000.0,99673,1,0,2008,1298.0,5,3
Tata Nexon EV Prime XZ Plus LUX,418000.0,24374,Electric,1,2021,0.0,5,1
Volkswagen Vento Petrol Highline AT,392000.0,69828,1,1,2011,1598.0,5,3
Maruti Baleno 1.2 Alpha,594000.0,72820,1,0,2016,1197.0,5,2
Mercedes-Benz C-Class Progressive C 220d,3724000.0,20785,0,1,2019,1950.0,5,1
Maruti Swift Dzire VXI AT Optional,588000.0,31172,1,1,2016,1197.0,5,2
Hyundai Grand i10 Sportz,451999.99999999994,24395,1,0,2016,1197.0,5,1
MG Hector Sharp DCT,1825000.0,11050,1,1,2021,1451.0,5,1
Toyota Innova 2.5 GX (Diesel) 7 Seater BS IV,774000.0,123394,0,0,2013,2494.0,7,2
Maruti Swift ZDi,421000.0,105053,0,0,2013,1248.0,5,2
Hyundai i20 Sportz,844000.0,10283,1,0,2021,1197.0,5,1
Tata Harrier XZ Plus Dark Edition,2199000.0,2443,0,0,2022,1956.0,5,1
Toyota Fortuner 2.7 2WD AT,3100000.0,44000,1,1,2019,2694.0,7,2
Audi Q5 3.0 TDI Quattro,994999.9999999999,68000,0,1,2011,2967.0,5,3
Mahindra Ssangyong Rexton RX7,975000.0,72000,0,1,2013,2696.0,7,1
Hyundai i10 Magna 1.1L,225000.0,38000,1,0,2011,1086.0,5,1
Maruti Swift Dzire VXI 1.2 BS IV,650000.0,65000,1,0,2019,1197.0,5,1
Audi Q7 45 TDI Quattro Premium Plus,1875000.0,43000,0,1,2014,2967.0,7,2
Hyundai i10 Sportz 1.1L,425000.0,52000,1,0,2014,1086.0,5,2
Mahindra XUV500 W8 FWD,745000.0,117000,0,0,2012,2179.0,7,1
Hyundai Verna 1.6 VTVT SX Option,825000.0,84000,1,0,2016,1591.0,5,1
Maruti Alto 800 LXI,204000.0,45080,1,0,2015,796.0,5,3
Maruti Eeco 5 Seater AC BSIV,470000.0,39341,1,0,2019,1196.0,5,1
Mahindra Scorpio 2.6 Turbo 7 Str,330000.0,133000,0,0,2007,2609.0,8,1
Mahindra e2o T2,321000.0,54112,Electric,1,2014,0.0,5,1
Hyundai i20 Sportz Plus BSIV,819999.9999999999,14824,1,0,2020,1197.0,5,1
Honda City i VTEC VX,925000.0,82500,1,0,2017,1497.0,5,1
Kia Seltos HTK Plus G,1349000.0,17922,1,0,2020,1497.0,5,1
BMW X7 xDrive 40i,123000.0,13000,1,1,2019,2998.0,7,1
Mitsubishi Pajero Sport 4X4 AT,1675000.0,85000,0,1,2015,2477.0,6,1
Hyundai Grand i10 AT Asta,575000.0,67000,1,1,2015,1197.0,5,1
Honda Jazz V CVT,745000.0,35000,1,1,2018,1199.0,5,1
Maruti Alto 800 LXI,345000.0,53000,1,0,2016,796.0,5,1
MG Hector Hybrid Sharp MT,2075000.0,598,1,0,2022,1451.0,5,1
Maruti Ertiga ZDI Plus,892000.0,75727,0,0,2019,1248.0,7,1
Kia Seltos GTX Plus DCT,1889999.9999999998,7000,1,1,2020,1353.0,5,1
Maruti Vitara Brezza ZDi Plus Dual Tone,858000.0,62403,0,0,2016,1248.0,5,1
Volkswagen Polo 1.5 TDI Comfortline,453000.0,44487,0,0,2014,1498.0,5,2
Mercedes-Benz C-Class Progressive C 220d,3900000.0,24000,0,1,2020,1950.0,5,2
Toyota Innova Crysta 2.4 ZX AT,2850000.0,47000,0,1,2020,2393.0,7,1
Hyundai i10 Magna 1.1L,190000.0,31212,1,0,2008,1086.0,5,1
Skoda Superb Laurin & klement,3365000.0,17776,1,1,2020,1984.0,5,1
